Country,Region,Oil Gas,Production source,Upstream Downstream,Reason,Abatement technology,Emissions,Possible Savings,Cost
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.2199999988079071,0.2199999988079071,-5.190000057220459
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.029999999329447746,0.029999999329447746,-5.170000076293945
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0,0,-5.170000076293945
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0,0,-5.170000076293945
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0,0,-5.170000076293945
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0,0,-5.170000076293945
India,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,3.1700000762939453,2.700000047683716,-5.150000095367432
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,4.619999885559082,3.930000066757202,-5.150000095367432
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,3.3499999046325684,2.8499999046325684,-5.150000095367432
OASEAN9,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.2800000011920929,0.23999999463558197,-5.119999885559082
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.09000000357627869,0.07000000029802322,-5.119999885559082
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,1.059999942779541,0.8999999761581421,-5.119999885559082
Other,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,2.3299999237060547,2.3299999237060547,-5.119999885559082
Pakistan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,4.829999923706055,4.829999923706055,-5.119999885559082
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Replace pumps,0.12999999523162842,0.12999999523162842,-5.119999885559082
Bangladesh,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,6.099999904632568,6.099999904632568,-5.119999885559082
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.05999999865889549,0.05000000074505806,-5.119999885559082
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.09000000357627869,0.07999999821186066,-5.119999885559082
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.05000000074505806,0.03999999910593033,-5.119999885559082
Other,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,1.5,1.5,-5.119999885559082
Other,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,0.6700000166893005,0.6700000166893005,-5.119999885559082
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.41999998688697815,0.36000001430511475,-5.119999885559082
Bangladesh,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0,0,-5.110000133514404
Pakistan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.009999999776482582,0.009999999776482582,-5.110000133514404
Other,Asia Pacific,Oil,Unconventional oil,Upstream,Vented,Blowdown capture,0,0,-5.090000152587891
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.019999999552965164,0.019999999552965164,-5.090000152587891
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,78.02999877929688,66.31999969482422,-5.079999923706055
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,28.170000076293945,23.950000762939453,-5.079999923706055
China,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,77.81999969482422,66.13999938964844,-5.079999923706055
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,1.9500000476837158,1.9500000476837158,-5.03000020980835
Other,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Replace pumps,0.019999999552965164,0.019999999552965164,-5.03000020980835
India,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,2.8299999237060547,2.4100000858306885,-4.929999828338623
India,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,11.930000305175781,10.140000343322754,-4.929999828338623
Pakistan,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.7400000095367432,0.7400000095367432,-4.889999866485596
Bangladesh,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.6299999952316284,0.6299999952316284,-4.889999866485596
Thailand,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,10.420000076293945,8.859999656677246,-4.880000114440918
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,4.079999923706055,3.4700000286102295,-4.880000114440918
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.05999999865889549,0.05000000074505806,-4.880000114440918
OASEAN9,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,10.15999984741211,8.640000343322754,-4.880000114440918
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.5400000214576721,0.46000000834465027,-4.880000114440918
Vietnam,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,5.03000020980835,4.28000020980835,-4.880000114440918
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,1.899999976158142,1.6100000143051147,-4.880000114440918
Brunei,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,3.930000066757202,3.3399999141693115,-4.880000114440918
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,1.5099999904632568,1.2899999618530273,-4.880000114440918
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.2199999988079071,0.1899999976158142,-4.880000114440918
Philippines,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,1.9500000476837158,1.659999966621399,-4.880000114440918
Malaysia,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,23.1299991607666,19.65999984741211,-4.880000114440918
Japan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,1.2300000190734863,1.0399999618530273,-4.869999885559082
Japan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.05000000074505806,0.03999999910593033,-4.869999885559082
China,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,6.090000152587891,5.170000076293945,-4.809999942779541
China,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,4.869999885559082,4.139999866485596,-4.809999942779541
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,9.25,7.869999885559082,-4.670000076293945
Other,Asia Pacific,Oil,Unconventional oil,Upstream,Fugitive,Upstream LDAR,0,0,-4.670000076293945
Other,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,0.07999999821186066,0.07000000029802322,-4.670000076293945
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,2.2300000190734863,1.899999976158142,-4.670000076293945
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,37.630001068115234,37.630001068115234,-4.599999904632568
China,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Blowdown capture,37.59000015258789,37.59000015258789,-4.599999904632568
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,2.3499999046325684,2.3499999046325684,-4.579999923706055
India,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Blowdown capture,1.6200000047683716,1.6200000047683716,-4.579999923706055
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,0.5400000214576721,0.5400000214576721,-4.579999923706055
OASEAN9,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,0.14000000059604645,0.14000000059604645,-4.579999923706055
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,0.05000000074505806,0.05000000074505806,-4.579999923706055
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,1.6699999570846558,1.4199999570846558,-4.559999942779541
India,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,1.590000033378601,1.350000023841858,-4.559999942779541
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,2.309999942779541,1.9600000381469727,-4.559999942779541
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,15.989999771118164,15.1899995803833,-4.519999980926514
Vietnam,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,1.0499999523162842,1,-4.519999980926514
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.05000000074505806,0.03999999910593033,-4.510000228881836
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.029999999329447746,0.019999999552965164,-4.510000228881836
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.029999999329447746,0.019999999552965164,-4.510000228881836
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.20999999344348907,0.18000000715255737,-4.510000228881836
OASEAN9,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.14000000059604645,0.11999999731779099,-4.510000228881836
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.03999999910593033,0.03999999910593033,-4.510000228881836
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.5299999713897705,0.44999998807907104,-4.510000228881836
Vietnam,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.009999999776482582,0.009999999776482582,-4.5
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0,0,-4.5
China,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.009999999776482582,0.009999999776482582,-4.489999771118164
China,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.009999999776482582,0.009999999776482582,-4.489999771118164
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,6.670000076293945,6.329999923706055,-4.480000019073486
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,51.689998626708984,49.099998474121094,-4.480000019073486
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,43.88999938964844,41.689998626708984,-4.46999979019165
China,Asia Pacific,Oil,Unconventional oil,Upstream,Incomplete-flare,Vapour recovery units,0.029999999329447746,0.029999999329447746,-4.46999979019165
China,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,11.399999618530273,10.829999923706055,-4.46999979019165
Malaysia,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.029999999329447746,0.029999999329447746,-4.460000038146973
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.009999999776482582,0.009999999776482582,-4.460000038146973
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Blowdown capture,0.3400000035762787,0.3400000035762787,-4.449999809265137
Pakistan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,12.270000457763672,12.270000457763672,-4.449999809265137
Bangladesh,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,15.510000228881836,15.510000228881836,-4.449999809265137
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,39.0099983215332,33.15999984741211,-4.420000076293945
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,14.09000015258789,11.970000267028809,-4.420000076293945
China,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,38.90999984741211,33.06999969482422,-4.420000076293945
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,4.460000038146973,4.460000038146973,-4.409999847412109
Other,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Blowdown capture,0.03999999910593033,0.03999999910593033,-4.409999847412109
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,2.140000104904175,2.0299999713897705,-4.369999885559082
Philippines,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,0.7599999904632568,0.7300000190734863,-4.369999885559082
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,4.650000095367432,4.420000076293945,-4.360000133514404
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,3.2699999809265137,3.0999999046325684,-4.360000133514404
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0,0,-4.340000152587891
Philippines,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0,0,-4.340000152587891
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,0.25999999046325684,0.25,-4.329999923706055
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0,0,-4.329999923706055
Thailand,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.009999999776482582,0.009999999776482582,-4.329999923706055
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,0.41999998688697815,0.4000000059604645,-4.329999923706055
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0,0,-4.300000190734863
OASEAN9,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.009999999776482582,0.009999999776482582,-4.300000190734863
India,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,15.539999961853027,14.760000228881836,-4.28000020980835
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,17.059999465942383,16.209999084472656,-4.28000020980835
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,4.460000038146973,4.239999771118164,-4.269999980926514
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,0.5199999809265137,0.49000000953674316,-4.269999980926514
Indonesia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.05000000074505806,0.05000000074505806,-4.25
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0,0,-4.230000019073486
India,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.009999999776482582,0.009999999776482582,-4.230000019073486
Other,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,2.059999942779541,1.75,-4.230000019073486
Brunei,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.009999999776482582,0.009999999776482582,-4.230000019073486
India,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.019999999552965164,0.019999999552965164,-4.230000019073486
Other,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,2.9000000953674316,2.4700000286102295,-4.230000019073486
Other,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0,0,-4.210000038146973
Indonesia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,3.880000114440918,3.880000114440918,-4.210000038146973
Other,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0,0,-4.210000038146973
Indonesia,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Replace pumps,0.009999999776482582,0.009999999776482582,-4.210000038146973
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,1.2599999904632568,1.0700000524520874,-4.170000076293945
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,1.7300000190734863,1.4700000286102295,-4.170000076293945
India,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,1.190000057220459,1.0099999904632568,-4.170000076293945
India,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Other,27.68000030517578,27.68000030517578,-4.159999847412109
India,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,1.4199999570846558,1.2000000476837158,-4.150000095367432
India,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,5.960000038146973,5.070000171661377,-4.150000095367432
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.029999999329447746,0.029999999329447746,-4.110000133514404
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.019999999552965164,0.019999999552965164,-4.110000133514404
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.1599999964237213,0.12999999523162842,-4.110000133514404
OASEAN9,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.10999999940395355,0.09000000357627869,-4.110000133514404
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.019999999552965164,0.019999999552965164,-4.110000133514404
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.4000000059604645,0.3400000035762787,-4.110000133514404
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.029999999329447746,0.029999999329447746,-4.110000133514404
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,2.0399999618530273,1.7300000190734863,-4.079999923706055
Thailand,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,5.210000038146973,4.429999828338623,-4.079999923706055
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.029999999329447746,0.019999999552965164,-4.079999923706055
OASEAN9,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,5.079999923706055,4.320000171661377,-4.079999923706055
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.27000001072883606,0.23000000417232513,-4.079999923706055
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.7599999904632568,0.6399999856948853,-4.079999923706055
Philippines,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,0.9700000286102295,0.8299999833106995,-4.079999923706055
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.10999999940395355,0.09000000357627869,-4.079999923706055
Malaysia,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,11.5600004196167,9.829999923706055,-4.079999923706055
Brunei,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,1.9700000286102295,1.6699999570846558,-4.079999923706055
Vietnam,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,2.5199999809265137,2.140000104904175,-4.079999923706055
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.949999988079071,0.8100000023841858,-4.079999923706055
Bangladesh,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.11999999731779099,0.10000000149011612,-4.070000171661377
Pakistan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,24.1200008392334,20.5,-4.070000171661377
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,0.6700000166893005,0.5699999928474426,-4.070000171661377
Pakistan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,1.4800000190734863,1.2599999904632568,-4.070000171661377
Bangladesh,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,30.489999771118164,25.920000076293945,-4.070000171661377
Other,Asia Pacific,Oil,Unconventional oil,Upstream,Incomplete-flare,Vapour recovery units,0,0,-4.039999961853027
Other,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,12.34000015258789,11.720000267028809,-4.039999961853027
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,11.720000267028809,11.140000343322754,-4.039999961853027
Indonesia,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,1.4500000476837158,1.4500000476837158,-4.019999980926514
Indonesia,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.5199999809265137,0.5199999809265137,-4.019999980926514
Indonesia,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,5.130000114440918,5.130000114440918,-4.019999980926514
Japan,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.009999999776482582,0,-4.010000228881836
Japan,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,0.07999999821186066,0.07000000029802322,-4.010000228881836
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,10.5600004196167,8.979999542236328,-3.990000009536743
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,29.260000228881836,24.8700008392334,-3.990000009536743
China,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,29.18000030517578,24.799999237060547,-3.990000009536743
